X,DATE,EXERCISE,CATEGORY,WEIGHT,REPS,SET_NUM,SOURCE,BIG_FOUR,VOLUME,IMPLEMENT,ASSISTED,MOVEMENT
1532,2015-01-12,Overhead Press,Shoulders,60.0,1.0,5,FitNotes,Overhead Press,60.0,NA,FALSE,Push
1533,2015-01-12,Machine Preacher Curl,Biceps,22.5,12.0,2,FitNotes,Other,270.0,Machine,FALSE,NA
1534,2015-01-15,High Cable Rear Delt Fly,Shoulders,7.5,10.0,1,FitNotes,Other,75.0,Cable,FALSE,NA
1535,2015-01-15,High Cable Rear Delt Fly,Shoulders,10.0,12.0,2,FitNotes,Other,120.0,Cable,FALSE,NA
1536,2015-01-15,Seated Cable Face Pull,Back,25.0,10.0,1,FitNotes,Other,250.0,Cable,FALSE,Pull
1537,2015-01-15,Seated Cable Face Pull,Back,30.0,8.0,2,FitNotes,Other,240.0,Cable,FALSE,Pull
1538,2015-01-15,Flat Barbell Bench Press,Chest,60.0,5.0,1,FitNotes,Bench Press,300.0,Barbell,FALSE,Push
1539,2015-01-15,Flat Barbell Bench Press,Chest,60.0,5.0,2,FitNotes,Bench Press,300.0,Barbell,FALSE,Push
1540,2015-01-15,Flat Barbell Bench Press,Chest,65.0,5.0,3,FitNotes,Bench Press,325.0,Barbell,FALSE,Push
1541,2015-01-15,Flat Barbell Bench Press,Chest,70.0,8.0,4,FitNotes,Bench Press,560.0,Barbell,FALSE,Push
1542,2015-01-15,Flat Barbell Bench Press,Chest,72.5,5.0,5,FitNotes,Bench Press,362.5,Barbell,FALSE,Push
1543,2015-01-15,Flat Barbell Bench Press,Chest,75.0,5.0,6,FitNotes,Bench Press,375.0,Barbell,FALSE,Push
1544,2015-01-15,Pull Up,Back,0.0,6.0,1,FitNotes,Other,0.0,NA,FALSE,Pull
1545,2015-01-15,Barbell Sumo Deadlift,Legs,100.0,5.0,1,FitNotes,Deadlift,500.0,Barbell,FALSE,Hinge
1546,2015-01-15,Barbell Sumo Deadlift,Legs,120.0,3.0,2,FitNotes,Deadlift,360.0,Barbell,FALSE,Hinge
1547,2015-01-15,Barbell Sumo Deadlift,Legs,140.0,3.0,3,FitNotes,Deadlift,420.0,Barbell,FALSE,Hinge
1548,2015-01-15,Barbell Sumo Deadlift,Legs,160.0,3.0,4,FitNotes,Deadlift,480.0,Barbell,FALSE,Hinge
1549,2015-01-15,Barbell Sumo Deadlift,Legs,180.0,1.0,5,FitNotes,Deadlift,180.0,Barbell,FALSE,Hinge
1550,2015-01-15,Cable Lat Pulldown,Back,35.0,10.0,1,FitNotes,Other,350.0,Cable,FALSE,Pull
1551,2015-01-15,Cable Lat Pulldown,Back,45.0,10.0,2,FitNotes,Other,450.0,Cable,FALSE,Pull
1552,2015-01-15,Cable Lat Pulldown,Back,55.0,10.0,3,FitNotes,Other,550.0,Cable,FALSE,Pull
1553,2015-01-15,Cable Lat Pulldown,Back,65.0,10.0,4,FitNotes,Other,650.0,Cable,FALSE,Pull
1554,2015-01-15,Cable Lat Pulldown,Back,70.0,3.0,5,FitNotes,Other,210.0,Cable,FALSE,Pull
1555,2015-01-15,Cable Rope Triceps Pushdown,Triceps,40.0,10.0,1,FitNotes,Other,400.0,Cable,FALSE,Push
1556,2015-01-15,Cable Rope Triceps Pushdown,Triceps,50.0,10.0,2,FitNotes,Other,500.0,Cable,FALSE,Push
1557,2015-01-15,Cable Rope Triceps Pushdown,Triceps,60.0,12.0,3,FitNotes,Other,720.0,Cable,FALSE,Push
1558,2015-01-15,Cable Rope Triceps Pushdown,Triceps,65.0,5.0,4,FitNotes,Other,325.0,Cable,FALSE,Push
1559,2015-01-15,Cable Rope Triceps Pushdown,Triceps,70.0,3.0,5,FitNotes,Other,210.0,Cable,FALSE,Push
1560,2015-01-15,Seated Dip Machine,Triceps,22.5,10.0,1,FitNotes,Other,225.0,Machine,FALSE,Push
1561,2015-01-15,Seated Dip Machine,Triceps,22.5,10.0,2,FitNotes,Other,225.0,Machine,FALSE,Push
1562,2015-01-15,Seated Dip Machine,Triceps,31.5,10.0,3,FitNotes,Other,315.0,Machine,FALSE,Push
