"","DATE","EXERCISE","CATEGORY","WEIGHT","REPS","SET_NUM","SOURCE"
"190",2014-08-21,"Assisted Dips","Triceps","20.5","10",3,"FitNotes"
"191",2014-08-21,"Assisted Dips","Triceps","16.5","5",4,"FitNotes"
"192",2014-08-21,"Assisted Dips","Triceps","12.5","5",5,"FitNotes"
"193",2014-08-21,"Neutral Chin Up","Back","0.0","3",1,"FitNotes"
"194",2014-08-21,"Neutral Chin Up","Back","0.0","2",2,"FitNotes"
"195",2014-08-21,"Incline Barbell Bench Press","Chest","40.0","10",1,"FitNotes"
"196",2014-08-21,"Incline Barbell Bench Press","Chest","45.0","10",2,"FitNotes"
"197",2014-08-21,"Incline Barbell Bench Press","Chest","47.5","10",3,"FitNotes"
"198",2014-08-21,"Cable Crossover","Chest","25.0","10",1,"FitNotes"
"199",2014-08-21,"Incline Dumbbell Fly","Chest","10.0","10",1,"FitNotes"
"200",2014-08-21,"Incline Dumbbell Fly","Chest","10.0","10",2,"FitNotes"
"201",2014-08-21,"Incline Dumbbell Fly","Chest","10.0","10",3,"FitNotes"
"202",2014-08-21,"Cable Crossover","Chest","20.0","10",2,"FitNotes"
"203",2014-08-21,"Cable Crossover","Chest","20.0","10",3,"FitNotes"
"204",2014-08-21,"T-Bar Row","Back","25.0","10",1,"FitNotes"
"205",2014-08-21,"T-Bar Row","Back","25.0","10",2,"FitNotes"
"206",2014-08-21,"T-Bar Row","Back","25.0","10",3,"FitNotes"
"207",2014-08-21,"Rope Push Down","Triceps","22.5","10",1,"FitNotes"
"208",2014-08-21,"Rope Push Down","Triceps","30.0","10",2,"FitNotes"
"209",2014-08-21,"Rope Push Down","Triceps","35.0","10",3,"FitNotes"
"210",2014-08-21,"Seated Cable Row","Back","25.0","10",1,"FitNotes"
"211",2014-08-21,"Seated Cable Row","Back","35.0","10",2,"FitNotes"
"212",2014-08-21,"Seated Cable Row","Back","45.0","10",3,"FitNotes"
"213",2014-08-21,"Cable Preacher Curl","Biceps","20.0","10",1,"FitNotes"
"214",2014-08-21,"Cable Preacher Curl","Biceps","25.0","10",2,"FitNotes"
"215",2014-08-21,"Cable Preacher Curl","Biceps","30.0","10",3,"FitNotes"
"216",2014-08-21,"One-Arm Standing Dumbbell Press","Shoulders","20.0","3",1,"FitNotes"
"217",2014-08-26,"Incline Barbell Bench Press","Chest","30.0","10",1,"FitNotes"
"218",2014-08-26,"Incline Barbell Bench Press","Chest","40.0","5",2,"FitNotes"
"219",2014-08-26,"Incline Barbell Bench Press","Chest","50.0","5",3,"FitNotes"
"220",2014-08-26,"Incline Barbell Bench Press","Chest","55.0","5",4,"FitNotes"
"221",2014-08-26,"Incline Barbell Bench Press","Chest","60.0","5",5,"FitNotes"
"222",2014-08-26,"Incline Barbell Bench Press","Chest","65.0","5",6,"FitNotes"
"223",2014-08-26,"Incline Barbell Bench Press","Chest","67.5","3",7,"FitNotes"
"224",2014-08-26,"Trap-Bar Deadlift","Back","110.0","3",1,"FitNotes"
"225",2014-08-26,"Trap-Bar Deadlift","Back","140.0","2",2,"FitNotes"
"226",2014-08-26,"Trap-Bar Deadlift","Back","170.0","2",3,"FitNotes"
"227",2014-08-26,"Trap-Bar Deadlift","Back","180.0","1",4,"FitNotes"
"228",2014-08-26,"Trap-Bar Deadlift","Back","185.0","1",5,"FitNotes"
"229",2014-08-26,"Trap-Bar Deadlift","Back","190.0","1",6,"FitNotes"
"230",2014-08-26,"Rope Push Down","Triceps","40.0","10",1,"FitNotes"
"231",2014-08-26,"Rope Push Down","Triceps","45.0","10",2,"FitNotes"
"232",2014-08-26,"Rope Push Down","Triceps","50.0","10",3,"FitNotes"
"233",2014-08-26,"Front Plate Raise","Shoulders","10.0","10",1,"FitNotes"
"234",2014-08-26,"Front Plate Raise","Shoulders","15.0","5",2,"FitNotes"
"235",2014-08-26,"Front Plate Raise","Shoulders","10.0","10",3,"FitNotes"
"236",2014-08-26,"Leg Press","Legs","100.0","10",1,"FitNotes"
"237",2014-08-26,"Leg Press","Legs","120.0","10",2,"FitNotes"
"238",2014-08-26,"Leg Press","Legs","140.0","10",3,"FitNotes"
"239",2014-08-26,"Leg Press","Legs","160.0","5",4,"FitNotes"
"240",2014-08-26,"Batwing Row","Back","5.0","10",1,"FitNotes"
