"Date","Exercise","Category","Weight (kgs)","Reps","Distance","Distance Unit","Time"
2014-08-18,Cable Crossover,Chest,20.0,10,,,
2014-08-18,Standing Cable Fly,Chest,10.0,10,,,
2014-08-18,Standing Cable Fly,Chest,15.0,10,,,
2014-08-18,Standing Cable Fly,Chest,20.0,10,,,
2014-08-18,Cable Crossover,Chest,25.0,10,,,
2014-08-18,Standing Cable Fly,Chest,25.0,5,,,
2014-08-18,Chin Up,Back,0.0,3,,,
2014-08-18,Chin Up,Back,0.0,3,,,
2014-08-18,T-Bar Row,Back,30.0,10,,,
2014-08-18,T-Bar Row,Back,30.0,10,,,
2014-08-18,T-Bar Row,Back,30.0,10,,,
2014-08-18,Cable Preacher Curl,Biceps,20.0,10,,,
2014-08-18,Cable Preacher Curl,Biceps,25.0,10,,,
2014-08-18,Cable Preacher Curl,Biceps,30.0,10,,,
2014-08-18,Overhead Press,Shoulders,40.0,10,,,
2014-08-18,Overhead Press,Shoulders,40.0,5,,,
2014-08-18,Rope Push Down,Triceps,22.5,10,,,
2014-08-18,Rope Push Down,Triceps,35.0,10,,,
2014-08-18,Rope Push Down,Triceps,40.0,10,,,
2014-08-18,Isolateral Lat Pulldown,Back,50.0,10,,,
2014-08-18,Isolateral Lat Pulldown,Back,50.0,10,,,
2014-08-18,Incline Dumbbell Fly,Chest,7.5,12,,,
2014-08-18,Incline Dumbbell Fly,Chest,7.5,15,,,
2014-08-21,Assisted Dips,Triceps,28.5,10,,,
2014-08-21,Assisted Dips,Triceps,24.5,10,,,
2014-08-21,Assisted Dips,Triceps,20.5,10,,,
2014-08-21,Assisted Dips,Triceps,16.5,5,,,
2014-08-21,Assisted Dips,Triceps,12.5,5,,,
2014-08-21,Neutral Chin Up,Back,0.0,3,,,
2014-08-21,Neutral Chin Up,Back,0.0,2,,,
2014-08-21,Incline Barbell Bench Press,Chest,40.0,10,,,
2014-08-21,Incline Barbell Bench Press,Chest,45.0,10,,,
2014-08-21,Incline Barbell Bench Press,Chest,47.5,10,,,
2014-08-21,Cable Crossover,Chest,25.0,10,,,
2014-08-21,Incline Dumbbell Fly,Chest,10.0,10,,,
2014-08-21,Incline Dumbbell Fly,Chest,10.0,10,,,
2014-08-21,Incline Dumbbell Fly,Chest,10.0,10,,,
2014-08-21,Cable Crossover,Chest,20.0,10,,,
2014-08-21,Cable Crossover,Chest,20.0,10,,,
2014-08-21,T-Bar Row,Back,25.0,10,,,
2014-08-21,T-Bar Row,Back,25.0,10,,,
2014-08-21,T-Bar Row,Back,25.0,10,,,
2014-08-21,Rope Push Down,Triceps,22.5,10,,,
2014-08-21,Rope Push Down,Triceps,30.0,10,,,
2014-08-21,Rope Push Down,Triceps,35.0,10,,,
2014-08-21,Seated Cable Row,Back,25.0,10,,,
2014-08-21,Seated Cable Row,Back,35.0,10,,,
2014-08-21,Seated Cable Row,Back,45.0,10,,,
2014-08-21,Cable Preacher Curl,Biceps,20.0,10,,,
2014-08-21,Cable Preacher Curl,Biceps,25.0,10,,,
2014-08-21,Cable Preacher Curl,Biceps,30.0,10,,,
2014-08-21,One-Arm Standing Dumbbell Press,Shoulders,20.0,3,,,
2014-08-26,Incline Barbell Bench Press,Chest,30.0,10,,,
2014-08-26,Incline Barbell Bench Press,Chest,40.0,5,,,
2014-08-26,Incline Barbell Bench Press,Chest,50.0,5,,,
2014-08-26,Incline Barbell Bench Press,Chest,55.0,5,,,
2014-08-26,Incline Barbell Bench Press,Chest,60.0,5,,,
2014-08-26,Incline Barbell Bench Press,Chest,65.0,5,,,
2014-08-26,Incline Barbell Bench Press,Chest,67.5,3,,,
2014-08-26,Trap-Bar Deadlift,Back,110.0,3,,,
2014-08-26,Trap-Bar Deadlift,Back,140.0,2,,,
2014-08-26,Trap-Bar Deadlift,Back,170.0,2,,,
2014-08-26,Trap-Bar Deadlift,Back,180.0,1,,,
2014-08-26,Trap-Bar Deadlift,Back,185.0,1,,,
2014-08-26,Trap-Bar Deadlift,Back,190.0,1,,,
2014-08-26,Rope Push Down,Triceps,40.0,10,,,
2014-08-26,Rope Push Down,Triceps,45.0,10,,,
2014-08-26,Rope Push Down,Triceps,50.0,10,,,
2014-08-26,Front Plate Raise,Shoulders,10.0,10,,,
2014-08-26,Front Plate Raise,Shoulders,15.0,5,,,
2014-08-26,Front Plate Raise,Shoulders,10.0,10,,,
2014-08-26,Leg Press,Legs,100.0,10,,,
2014-08-26,Leg Press,Legs,120.0,10,,,
2014-08-26,Leg Press,Legs,140.0,10,,,
2014-08-26,Leg Press,Legs,160.0,5,,,
2014-08-26,Batwing Row,Back,5.0,10,,,
2014-08-26,Batwing Row,Back,7.5,10,,,
2014-08-26,Batwing Row,Back,7.5,10,,,
2014-08-29,Push Press,Shoulders,20.0,10,,,
2014-08-29,Push Press,Shoulders,35.0,5,,,
2014-08-29,Push Press,Shoulders,40.0,5,,,
2014-08-29,Push Press,Shoulders,45.0,12,,,
2014-08-29,Push Press,Shoulders,40.0,10,,,
2014-08-29,Flat Dumbbell Bench Press,Chest,17.5,10,,,
2014-08-29,Flat Dumbbell Bench Press,Chest,20.0,10,,,
2014-08-29,Flat Dumbbell Bench Press,Chest,20.0,10,,,
2014-08-29,Flat Dumbbell Fly,Chest,10.0,10,,,
2014-08-29,Flat Dumbbell Fly,Chest,10.0,10,,,
2014-08-29,Flat Dumbbell Fly,Chest,10.0,10,,,
2014-08-29,Rope Push Down,Triceps,40.0,10,,,
2014-08-29,Rope Push Down,Triceps,45.0,10,,,
2014-08-29,Rope Push Down,Triceps,45.0,10,,,
2014-08-29,Cable Crossover,Chest,15.0,10,,,
2014-08-29,Cable Crossover,Chest,20.0,10,,,
2014-08-29,Cable Crossover,Chest,25.0,10,,,
2014-08-29,Shoulder Press Machine,Shoulders,22.5,10,,,
2014-08-29,Shoulder Press Machine,Shoulders,40.5,10,,,
2014-08-29,Snatch-Grip Behind The Neck Press,Shoulders,20.0,10,,,
2014-08-29,Snatch-Grip Behind The Neck Press,Shoulders,20.0,10,,,
2014-08-29,Snatch-Grip Behind The Neck Press,Shoulders,20.0,10,,,
2014-08-29,Muscle Snatch,Shoulders,20.0,5,,,
2014-08-29,Muscle Snatch,Shoulders,30.0,5,,,
2014-08-31,Trap-Bar Deadlift,Back,140.0,8,,,
2014-08-31,Trap-Bar Deadlift,Back,120.0,5,,,
2014-08-31,Trap-Bar Deadlift,Back,100.0,5,,,
2014-08-31,Trap-Bar Deadlift,Back,60.0,10,,,
2014-08-31,Trap-Bar Deadlift,Back,180.0,1,,,
2014-08-31,Trap-Bar Deadlift,Back,200.0,1,,,
2014-08-31,Seated Cable Row,Back,45.0,10,,,
2014-08-31,Seated Cable Row,Back,55.0,10,,,
2014-08-31,Seated Cable Row,Back,65.0,10,,,
2014-08-31,Lat Pulldown,Back,55.0,8,,,
2014-08-31,Lat Pulldown,Back,55.0,5,,,
2014-08-31,Lat Pulldown,Back,60.0,5,,,
2014-08-31,Leg Press,Legs,100.0,5,,,
2014-08-31,Leg Press,Legs,130.0,5,,,
2014-08-31,Leg Press,Legs,150.0,5,,,
2014-08-31,Leg Press,Legs,170.0,5,,,
2014-08-31,Leg Press,Legs,190.0,3,,,
2014-08-31,Leg Press,Legs,200.0,3,,,
2014-09-02,Flat Barbell Bench Press,Chest,20.0,5,,,
2014-09-02,Flat Barbell Bench Press,Chest,45.0,5,,,
2014-09-02,Flat Barbell Bench Press,Chest,55.0,5,,,
2014-09-02,Flat Barbell Bench Press,Chest,60.0,12,,,
2014-09-02,Flat Barbell Bench Press,Chest,65.0,3,,,
2014-09-02,Flat Barbell Bench Press,Chest,70.0,2,,,
2014-09-02,Flat Barbell Bench Press,Chest,75.0,1,,,
2014-09-02,Flat Barbell Bench Press,Chest,80.0,1,,,
2014-09-02,Standing Cable Fly,Chest,20.0,12,,,
2014-09-02,Standing Cable Fly,Chest,20.0,12,,,
2014-09-02,Cable Crossover,Chest,20.0,12,,,
2014-09-02,Cable Crossover,Chest,25.0,12,,,
2014-09-02,Reverse Cable Fly,Shoulders,10.0,12,,,
2014-09-02,Reverse Cable Fly,Shoulders,10.0,12,,,
2014-09-02,Reverse Cable Fly,Shoulders,10.0,12,,,
2014-09-02,Rope Push Down,Triceps,30.0,20,,,
2014-09-02,Rope Push Down,Triceps,30.0,20,,,
2014-09-02,Rope Push Down,Triceps,30.0,20,,,
2014-09-02,One-Arm Cable Curl,Biceps,10.0,15,,,
2014-09-02,One-Arm Cable Curl,Biceps,10.0,15,,,
2014-09-02,One-Arm Cable Curl,Biceps,10.0,15,,,
2014-09-02,Cable Overhead Triceps Extension,Triceps,15.0,10,,,
2014-09-02,Cable Overhead Triceps Extension,Triceps,20.0,10,,,
2014-09-02,Cable Overhead Triceps Extension,Triceps,25.0,10,,,
2014-09-02,High Cable Curl,Biceps,7.5,15,,,
2014-09-02,High Cable Curl,Biceps,10.0,15,,,
2014-09-02,High Cable Curl,Biceps,10.0,15,,,
2014-09-02,Cable Overhead Triceps Extension,Triceps,7.5,20,,,
2014-09-02,Cable Overhead Triceps Extension,Triceps,12.5,20,,,
2014-09-02,Cable Overhead Triceps Extension,Triceps,12.5,20,,,
2014-09-02,One-Arm Rope Triceps Pushdown,Triceps,7.5,20,,,
2014-09-02,One-Arm Rope Triceps Pushdown,Triceps,10.0,20,,,
2014-09-02,One-Arm Rope Triceps Pushdown,Triceps,12.5,20,,,
2014-09-02,Dumbbell Hammer Curl,Biceps,6.0,15,,,
2014-09-02,Dumbbell Hammer Curl,Biceps,7.0,10,,,
2014-09-02,Dumbbell Hammer Curl,Biceps,7.0,10,,,
2014-09-02,Smith Machine Close Grip Bench Press,Triceps,20.0,5,,,
2014-09-02,Smith Machine Close Grip Bench Press,Triceps,20.0,5,,,
2014-09-03,Barbell Squat,Legs,60.0,3,,,
2014-09-03,Barbell Squat,Legs,70.0,5,,,
2014-09-03,Barbell Squat,Legs,80.0,5,,,
2014-09-03,Barbell Squat,Legs,95.0,5,,,
2014-09-03,Barbell Squat,Legs,70.0,10,,,
2014-09-03,Lying Leg Curl Machine,Legs,35.0,12,,,
2014-09-03,Seated Calf Raise Machine,Legs,40.0,15,,,
2014-09-03,Lying Leg Curl Machine,Legs,35.0,12,,,
2014-09-03,Lying Leg Curl Machine,Legs,35.0,12,,,
2014-09-03,Ski Jump Smith Machine Calf Raise,Legs,20.0,10,,,
2014-09-03,Ski Jump Smith Machine Calf Raise,Legs,40.0,5,,,
2014-09-03,Ski Jump Smith Machine Calf Raise,Legs,60.0,5,,,
2014-09-03,Seated Calf Raise Machine,Legs,45.0,15,,,
2014-09-03,Seated Calf Raise Machine,Legs,45.0,10,,,
2014-09-03,Standing Calf Raise Machine,Legs,49.5,10,,,
2014-09-03,Standing Calf Raise Machine,Legs,49.5,10,,,
2014-09-03,Standing Calf Raise Machine,Legs,49.5,10,,,
2014-09-03,Glute Kickback Machine,Legs,22.5,12,,,
2014-09-03,Glute Kickback Machine,Legs,31.5,12,,,
2014-09-03,Glute Kickback Machine,Legs,40.5,12,,,
2014-09-03,Barbell Glute Bridge,Legs,0.0,10,,,
2014-09-03,Barbell Glute Bridge,Legs,35.0,10,,,
2014-09-03,Barbell Glute Bridge,Legs,40.0,10,,,
2014-09-03,Leg Press,Legs,140.0,5,,,
2014-09-03,Leg Press,Legs,190.0,5,,,
2014-09-03,Leg Press,Legs,210.0,3,,,
2014-09-03,Leg Press,Legs,230.0,1,,,
2014-09-05,Push Press,Shoulders,40.0,3,,,
2014-09-05,Push Press,Shoulders,45.0,3,,,
2014-09-05,Push Press,Shoulders,50.0,12,,,
2014-09-05,Push Press,Shoulders,60.0,3,,,
2014-09-05,Push Press,Shoulders,62.5,2,,,
2014-09-05,Rope Push Down,Triceps,30.0,15,,,
2014-09-05,Rope Push Down,Triceps,40.0,15,,,
2014-09-05,Rope Push Down,Triceps,50.0,8,,,
2014-09-05,Rope Push Down,Triceps,40.0,15,,,
2014-09-05,Rope Push Down,Triceps,40.0,8,,,
2014-09-05,Cable Overhead Triceps Extension,Triceps,12.5,10,,,
2014-09-05,Cable Overhead Triceps Extension,Triceps,15.0,10,,,
